Model,Accuracy,Precision_macro,Recall_macro,F1_macro
Linear SVM,0.6407835732829832,0.5739410538262693,0.5696553446553447,0.5429883608664741
KNN (tuned),0.5732829832428605,0.527893108938182,0.509215689072832,0.5038663418860301
